Nom de l'entreprise,Adresse,Email entreprise
Anavid services tunisie,sakiet Ezzit Rue Mongi Slim Immeuble le 24,rh@anavid.co
Numeryx Tunisie,IMMEUBLE LLOYD 10ÉME ÉTAGE Bloc C-10 Angle de Rue Ahmed Hamza CENTRE URBAIN NORD، 1003,jobs@numeryx.fr
InstaDeep SUARL,"Immeuble ICC3 bloc D 4ème étage. Centre Urbain، Nord, Tunis 1082",hello@instadeep.com
Siemens Industry Software (SARL),"Rue de la feuille d'érable, Immeuble Fahd, 5ème étage, les Berges du Lac 2, 1053 - Tunis",mohamed.benayed@siemens.com
Université du Québec à Chicoutimi,"555 Bd de l'Université, Chicoutimi, QC G7H 2B1, Canada",supportsti@uqac.ca
Value Digital Services,"60 avenue principale, lac 1",carrieres@value.com.tn
Siemens,"Rue de la feuille d'érable, Immeuble Fahd, 5ème étage, les Berges du Lac 2, 1053 - Tunis",contact.tn@siemens.com
TELNET INC,"25 rue Jamel eddine Elafghani Poudrière 1, Sfax",info_users@groupe-telnet.net
Save Your Wardrope,"Rue du lac biwa, 3éme étage bâtiment Expensya, lac 1 Tunis",khouloud@saveyourwardrobe.com
Siemens,"Rue de la feuille d'érable, Immeuble Fahd, 5ème étage, les Berges du Lac 2, 1053 - Tunis",alaeddine.lajili@siemens.com
Myga consulting,"13 Rue Tahar Memmi, Ariana 2091",contact@mygaconsulting.fr
Novacture Conseil,IMMEUBLE MONFIANE 2EME ETAGE BB10 CITE MILITAIRE SOUSSE 4000,amine.zemni@novacture.com
Responsible Cyber,"Singapore, 56A Boat Quay, 049845",info@responsible-cyber.com
TELNET INC,"Z.I Poudrière 1, Rue Jameleddine El-Afghani N° 3000 Sfax",info@groupe-telnet.net
Siemens EDA -Tunisia,"Rue de la feuille d'érable, Immeuble Fahd,  5ème étage, les Berges du Lac 2, 1053 - Tunis",mohamed.ouhibi@siemens.com
Mentor Graphics Tunisia SARL,"Building Fahd, la Feuille d’Erable street, 5th floor, Les Berges du Lac2, Tunis, Tunisia",asma.meftah@siemens.com
TELNET INC,"25 rue Jamel eddine Elafghani Poudrière 1, Sfax",Salma.Rjeb@groupe-telnet.net
Teligencia Labs,"Centre Urbain Nord – Immeuble Lilas, Tunis 1082",Hamza.benammar@teligencia.com
Université du Québec à Rimouski - Campus de Lévis,"Campus de Lévis 1595, boulevard Alphonse-Desjardins Lévis (Québec)  G6V 0A6 CANADA",campus_levis@uqar.ca
IT SERV,"5 impasse Chahrazed, El Menzah 4, 1004 Tunis",itserv@itserv.tn
Oniris,"L’École nationale vétérinaire, agroalimentaire et de l'alimentation de Nantes-Atlantique (Oniris), site de la Géraudière, Rue de la Géraudière, CS 82225 44322, NANTES CEDEX",contact@oniris-nantes.fr
Linedata,"Immeuble Cléopâtre Center, Zone Urbaine Nord, Tunis,1053",Khaoula.Gharbi@se.linedata.com
NXP,"45 All. des Ormes Bâtiment D, 06250 Mougins, France",leila.goulamaly@nxp.com
OAAS,Bizerte,hr@oaasit.com
Docaposte Tunisie,pôle technologique El Ghazela,siwar.thabet@docaposte.fr
oaasit,"Rue du theatre, 7000 Bizerte, TUNISIE",contact@oaasit.com
Talan Tunisie,"10 rue de l'énergie solaire, Impasse n°1 Cedex 2035, Charguia 1 Tunis",ons.mahsni@talan.com
Commissariat à l’énergie atomique et aux énergies alternatives-CEA,"Point Courrier 174 F-91191 Gif-sur-Yvette Cedex,ile de france , France",ewa.pichon@cea.fr
habemus! Solutions,Technopole de Sfax,hajer.jallouli@habemus.com
GetBrandee,"128, Rue de la Boétie, Paris, Paris 75008, FR",radouani@getbrandee.com
Inetum,"Immeuble Harbour, Avenue de la Bourse Lac 2 Tunis",jobs@inetum.com
Sofrecom Tunisie,"Immeuble Sterling Rue du Lac Biwa, les berges du LAC Tunis",contact.tunisie@sofrecom.com
Université Laval,"2325 Rue de l'Université, Québec, QC G1V 0A6, Canada",mohamed-aymen.saied@ift.ulaval.ca
SAMA PARTNERS Business Solutions,"Immeuble le Coral, B11-3  1082 Centre Urbain Nord - Tunis",echrak.dabbabi@samapartners.tn
Integration Objects,"Bloc A, City Lake Center, Av. Du Dollar, Tunis 1053",chnefzi@integrationobjects.com
"Efrei Research Lab,Paris Panthéon-Assas Université","30-32 Av. de la République, 94800 Villejuif, France",adlane.benchallal@efrei.fr
Integration Object,"Bloc A, City Lake Center, Av. Du Dollar, Tunis 1053",careers@integrationobjects.com
Linedata,"Immeuble Cléopâtre Center, Zone Urbaine Nord, Tunis, 1053",rania.benamar@se.linedata.com
Codingaholic,"3 rue mohamed bayrem 5, La marsa",contact@codingaholic.com.tn
INSPIRE IT ENGINEERING SOLUTIONS,"11 Rue ezzayatines, Teboulba, 5080",bt.mehdi@gmail.com
ENSI,Campus Universitaire de la Manouba - 2010 Tunisie,webmaster@ensi.rnu.tn
WEVIOO,Immeuble WEVIOO Technopark El Ghazela 2088 Tunis-، Ariana- Tunisie 2088,contact@wevioo.com
HEXASTACK,"B2-2 Maram Palace, Impasse Cherazad, Menzah 4, Tunis, 1082",contact@hexastack.com
TEAMWILL,"Rue du lac Léman, Immeuble « Omrane » Les Berges du lac, Tunis",sales-mea@teamwillgroup.com
Estarta Solutions,"Queen Rania Street ,Amman Jordan",Qbzwayeh@estarta.com
T-SEUS,Route lafrane km 6.5 Sfax,contact@t-seus.com
National Smart For Green Solutions and Applications,Centre d'innovation Ras Jebel,karim.fathallah@smartforgreen.com
national,rue54jlkjlkj,national.entre@gmail.com
TeamDev,"RH9R+WW2, Technopôle de Sousse, Route ceinture de Sahloul, Sousse, Tunisie",contact@teamdev.tn
Laboratoire LARA de l'ENSI,Ecole Nationale des Sciences de l'Informatique,direction.stages@ensi-uma.tn
NST Groupe,"13 avenue du general leclerc, 92340 bourg la reine , FRANCE",contact@nstgroupe.com
"Laboratoire LR-RISC,ENIT","Campus Universitaire Farhat HACHED EL MANAR BP 37, LE BELVEDERE 1002 TUNIS",contact@enit.utm.tn
Tech4IoT,"Technopark Elghazala Route Raoued km 3.5, Tunis, Ariana 2080, TN",tech4iot.sevices@gmail.com
TEKAB DEV,"Rue Hedi Nouira complex la Couronne 5éme étage B02، Tunisie, Sfax",contact@tekab.dev
