Nom de société ,Adresse Téléphone ,Fax E -mail 
Karwisoft ,232rue de l'atmosphere Gatineau QC J9A 3N9,sofien.klif@karwisoft.com
L Mobile Tunisia SARL ,"30Rue de Sousse ,Nabeul ",hend.kharez@l-mobile.com
industries de Raffinage (STIR ),"Zarzouna ,Bizerte ,Tunisie ",stir@stir.com.tn
Laboratoire de recherche EMAT ,"R. El Waquidi Et Du Boulevard Charles Nicolles , Moncton ,Nouveau -Brunswick E1A3E9 ",habib.hamam@umoncton.ca
Laboratoire de recherche ENIT ,Compus Universitaire El Manar ,joseph.haggege@enit.com.tn
Leevya Communication ,Megrine ,contact@leevya.com
Line Data ,Imm .Cleopatre Center Bloc B Centre Urbain Nord ,monder.merai@linedata.com
logicom Informatique ,"Avenue 14Janvier Imm.Karama 1èreetage App 12,",ahmedfakhfakh@gmail.com
"pazarlama A ,S ","Krizantem Sk .No :46,34330Beşiktaş /İstanbul,",talha@manenoliagames.com
Markom Web ,"AV Habib Bourguiba ,Ariana ",info@markomweb.com
MB21 ,"45,R. Faycal BEN ABDELAZIZ ;8050HAMMAMET ",m.abidi@mb2i.fr
Media Net ,"Avenue Habib Bourguiba ,10Décembre ,immeuble ",maher.mehi@medianet.com.tn
MINT IT ,"8Rue du Royaume d'Arabie Saoudite ,Tunis 1002",office@mintit.ia
Mobelite Labs ,"immeuble Errachid ,Av .du combattant suprême ,",contact@mobelite.fr
MS Solution Group ,"Immeuble le 45,Avenue du Japon",contact@mssolutions-group.com
MTK Kairouan ,"AV Bait el hikma Mansoura ,3000Kairouan Sud ",mtk.tn@planet.tn
Multicom SARL ,"7Rue Abdelkerim Khtabi 2037EL Menzeh 7,Tunis ",info@multicom.tn.com
Neopolis development ,Mrezga Nabeul ,info@neopolis-dev.com
Next Step ,"rue 8612,Imm Energie solaire ,Charguia I ,Tunis ",s.mrabet@nextstep-it.com
OACA ,Center BP 137-1471000TUNIS CEDEX TUNISIE ,tunisia-ais@oaca.nat.tn
et des ports ,"Port de la goulette ,2060",info@ommp.nat.tn
Pixémantic ,Centre Urbain Nord ,contact@pixemantic.com
Progress Technologies ,56rue jaurés massy 91300France ,projets.progress.technologies@gmail.com
Proxym ,Technopole ,contact@proxym.it.com
Technologies ,"34Avenue de Paris ,Megrine ",riadh.msolli@sagemcom.com
Selene Technology ,"Av .Mongi Ben Hmida ,Kélibia ",selenetechnologytn@gmail.com
SFM Technologies ,81Rue Hedi Chaker -1002Tunis -Tunisia ,info@sfmtelecom.com
SIDI SARL ,"4,Rue de l'Artisanat -Z.I. Charguia II ",contact@digitalbandle.tn
Siege Sociale de STEG ,"38,Rue Kemal Ataturk ,Tunis ",mnhellal@ster.com.tn
Smart ERP ,Pole Technologies de la Manouba ,contact@smart-it.tn
Societé Metam Tunisie ,Avenue Habib Bourguiba résidence Ettaoufik,sahar.kristou@metam.tech
Sofia Tech ,"Immeuble HERTZ ,20,2035Rue des Entrepreneurs ,",contact@sofia-technologies.tn
Softsquare IT ,Cyber Park Houmt Souk ,contact@softsquareit.com
Sonede ,"2,Avenue Slimane Ben Slimane ,El Manar 2,Tunis ",sonede@sonede.com.tn
Spring Travel Services ,"14Boulvard Habib Chrita ,Tunis ",dorra@tunisiebooking.com
ST21 ,Immeuble ben mansour ,aa.amira@st2i.com.tn
STE Comand Dev SARL ,Sahloul Sousse ,contact@hexashore.com
(ST21 ),du Lac ,sofiene.charbi@st2i.com.tn
Stramica ,rue des minireaux charguia I ,iabrinaiib910@gmail.com
Super Soft ,"rue 37,Yakouta Hamaoui Ariana ",riadhs@gmail.com
Targa Consult ,ZI Le Kram Tunisie ,emna@tarea-consult.com
T -Cody ,La Marsa ,k.iendoubi@t-cody.com
Tech Inventors TN ,RUE 20MARS JAWHARA Sousse 400,contact@techinventors.com.tn
Technocolabs Softwares ,India ,technocollabs@gmail.com
TEKSIGHT ,"B.P 110,2210Tozeur -Tunisie ",saida.akermi@teksight.net
Troutwood LLC ,"467Troutwood drive ,Pittsburgh ,Pennsylvania ",gerenatali@troutwood.com
Tuni Tech ,Turkey Street Sahloul 4054Sousse ,contact@tuni-tech.com
Tunisian Cloud ,"immeuble Chammam ,angle des rues du Lac TOBA ",contact@tunisiancloud.com
Tunisie Systéme d'Information ,Ennasr 1-2037Ariana Tunisie ,info@tsi.com.tn
Tunisie Telecom ,Montplaisir ,fatima.bouzid@tunisiatelecom.tn
Value Digital Services ,"Rue du Lac Turkana ,Tunis ",contact@value.com.tn
Vneuron RC ,"4Rue de l'artisanat ,Charguia 2,2035Tunis ",hello@yneuron.com
WG Consulting ,Avenue Habib Bouguiba -5080Teboulba -Monastir ,r.boussema@wg-consulting.fr
Wificom ,"Rue du Lac Biwa ,Tunis ",contact@weficom.com
