ST Microelectronics,Technopole el Ghazala Ariana,st@newsletter.st.com
Vastsky123,Avenue Hbib Bourguiba Korba 8070,contactstage@vastsky123.tn
CAPIT,"71 av jean jurés, Tunis",contact@capit.agency
société EL Kanaouet,20 Rue Ahmed Rami Immeuble Essalem Cité les jardins 1002 Tunis Belvédère,siege@elkanaouet.com
Whitecape Technologies,Avenue de la République Akouda Sousse 4022,info@whitecapetech.com
KEYSTONE,"3 Rue de Riadh, Mutuelleville, Tunis",contact@keystone.tn
Désignet web agency,Rue de la révolution menzel temime 8080,Contact@designet-tn.com
Sqoin,"04 rue Taher Mami, Manzah 6 Ariana",admin@sqoin.us
All Soft Multimédia,"Avenue de la libérté, Immeuble el Itkan 3éme étage , Sfax",contact@asm.com.tn
Ip Label,"70 Avenue Mohamed V, 1er étage,  1002 Tunis Belvédère",info@ip-label.com
General Computers,Rue Alexsander Sfax,abdelhedigc@yahoo.fr
Tunisie Telecom Nabeul,Rue de la révolution 8000 Nabeul,Ahlem.ISSA@tunisietelecom.tn
Coworky,"Av. Arbi Zarouk 8000 ,Nabeul",hello@coworky.org
SIDILEC INTERNATIONAL,Route de Mahdia kilomètre 10,mchallouf@sidilec.com.tn
Laboratoire de recherche LARIA,Ecole Nationale de Sciences Informatique,mouna.mnif@ensi-uma.tn
Agence Nationale de Certification électronique,"Parc Technologique El Ghazala – Route de Raoued Km 3,5 – 2088 Ariana",ance@certification.tn
Tunisie Telecom,Actel El Bosten,sfaxtelecomservice@gnet.tn
DOT-IT,pépinière des entreprises Softech - technopole de souuse,contact@dotit-corp.com
Tunisia Fleet Management (Groupe Ben Jemaa),19 Rue de l'Usine - Z.I. Ariana Aéroport 1080 Tunis Cedex B.P.291,jihene.aziza@tfm.com.tn
ALGOCOD,"Cyber Park Avenue Charles de Gaulle 4011 Hammam Sousse , Sousse",contact@algocod.com
BUSINESS AND AI,"Bureau N°402 Megrine Business Center Route Z4, Z.I Saint-Gobain 2014 Megrine Ben Arous",internships@business-and-ai.com
CGI Studio,1 moussa ben nousair - Manzel Temime,cgistudio.contact@gmail.com
OffensyLab,"Smart Tunisian Technopark, El Ghazela, 2038 - Tunis",Contact@defensy.io
HRMAPS,"Immeuble City Center Tour Bureaux, B07-E3 3ème étage, Tunis 1080",contact@hrmaps.eu.com
Centre National de l'informatique,"17 rue belhassen ben chaaben , el omrane",webcni@cni.tn
Manufacture Electro-Technique  de sousse (METS),sidi abdelhmid sousse,ahmed.asma@draexlmaier.de
Advanced Derivative Solutions,Centre Urbain Nord,rh@aderivatives.com
SMDI,"Route gremda km 1.5, Sfax",contact@smdi.tn
MAKLADA SA,ZI ELJEM,makladausine@maklada.com
Ooredoo Tunisie,"Imm. Zenith Les Jardins du Lac 1053, Les Berges du Lac Tunis Tunisie",mariem.cherif@ooredoo.tn
SIMAC,"124, rue Radhia Hadded-1000 Tunis",contact@simac.tn
ste visioad,avenue taieb Mhiri sousse,info@visioad.com
"Efrei Research Lab, Paris Panthéon-Assas Université","30-32 avenue de la République, 94 800 Villejuif (Mode de travail - Télétravail)",Ahmed.jouini@efrei.fr
Ernst & Young,"EY TOWER, Avenue Fadhel ben achour centre urbain nord 1003,Tunis",Tunisoffice@tn.ey.com
Amen Bank,"Ave Mohamed V, Tunis 1002",amenbank@amenbank.com.tn
Fysali SAS,70 rue du Docteur Yersin Bio-Incubateur,omar@fysali.com
FoodoMarket,route gabes km 2,rh@foodomarket.com
"Centre Nationale de l'informatique ,Menzel Jemil","Rimel 7080 Menzel Jemil, Bizerte",welyagoubi@cni.tn
Elyos Digital Tunisie,Rue Mohamed Shim Rbat monastir,contact@elyosdigital.com
LEONI Manzel Hayet,Manzel Hayet -Monastir,stage.leoni.tunisie@leoni.com
STMicroelectronics,"PB 21 Technopark EL GHAZELLA, Ariana",NA@NA.com
Ecole Nationale d'Ingénieurs de Tunis (ENIT),"ENIT - BP 37, 1002 Tunis Le Belvédère, Tunisie",yasser.gritli@enit.utm.tn
Bee coders,Technopole ghazela ariana,Admin@beecoders.tn
Centre de Recherche en Numérique de Sfax,"Technopark of Sfax, B.P. 275 , Sakiet Ezzit, 3021 Sfax, Tunisia",contact@crns.rnrt.tn
SANCELLA,Avenue 18 Janvier - Ksibet el mediouni,mohamed.chebil@sancella.com.tn
TUNISIE TELECOM GABES,Rue Bachir Eljaziri 6001 - Gabés,Ismail.Kthir@tunisietelecom.tn
Openbee,2éme étage immeuble carrefour kharouba hammamet 8000,Info@openbee.com
coaching academy,"Résidence prestige BM3, 90, 1 Av. Hédi Nouira, Ariana 2001",Coachingacademy6@gmail.com
JAWAKER,", Sweifieh Amman Jordan",marketing@jawaker.com
ADERFIA INC,"Cyber parc kairouan, M34M+JQ2, Kairouan, Kairouan, Tunisia",aderfia.inc@gmail.com
OmegUp,Cyber parc zarzis,contact@omegup.tn
Olab Dynamics,"7 Rue Aline Jacquier Savigny-le-temple, France",Olab.Dynamics@gmail.com
Anypli,"Rue Ibn El Jazzar, Skanes, 5000 Monastir,",contact@anypli.com
clinisys,"Route Manzel chaker km 4, Sfax,Tunisie",soft@csys.com.tn
