ACTIA Engineering Services,"Technopôle El Ghazala - 1, BP99 rue Newton, Ariana 2088",imene.mehri@actia-engineering.tn
Go Partner TN,"18 Ave Habib Bourguiba, Manouba 2010 Tunisie",smaalaoui@gopartner.fr
Wg Consulting,Teboulba-5080,info@wg-consulting.fr
Cognira,"Immeuble Premium B-04  Rue De L’euro Les Berges Du Lac 1053 Tunis, Tunisia",asma.benfredj@cognira.com
Standard Sharing Software (3S),"Immeuble 3S, Lotissement Ennassim Montplaisir, Tunis 1073",RH@3s.com.tn
Université de Sherbrooke,"150 Pl. Charles-Le Moyne, Longueuil, QC J4K 0A8, Canada",campus.longueuil@USherbrooke.ca
FNZ group,"FNZ group TUNISIA SARL 49 rue l'industrie - STECOM building, 2nd floor - Charguia1 Cite El Khadra - 2035 Tunis - Tunisia",StagesPFE-tn@newaccess.ch
IOT Lab at Carleton University,"2455 MACKENZIE CARLETON UNIVERSITY 1125 COLONEL BY DRIVE OTTAWA, ON, K1S 5B6",CARLETONIOTLAB@GMAIL.COM
Billcom Consulting,"Rue zitouna khezama ,Sousse",contact@billcom-consulting.com
Continuous Net,"RHMV+WFM, Sousse",stage@continuousnet.com
GeWinner,"Business incubator, Elgazala Technopark, Raoued, 2088 Ariana, Tunisia",gewinner.contact@gmail.com
Novobit Group GmbH,"Theodor-Heuss-Straße 2, 38122 Braunschweig, Germany",MAIL@NOVOBIT.EU
Télécom SudParis,CEA Saclay - Nano Innov PC 176 - Bât 861 91191 Gif sur Yvette Cedex France,communication@telecom-sudparis.eu
"Télécom SudParis (Évry/Palaiseau, France), SAMOVAR Lab",9 rue Charles Fourier -91011 EVERY Cedex - France,Denis.Conan@telecom-sudparis.eu
Sagemcom Software & Technologies,34 Avenue de Paris – Megrine,mariem.jomni@sagemcom.com
CED Tunisia,"49 Rue de l'énergie solaire , Charguia1, 2035 Tunis , TN",chayma.nawali@ced.group
WSK Medical,"Science Park 608 unit K09, 1098 XH Amsterdam",marius.wellenstein@wskmedical.org
DECADE,"Immeuble Salma Centre, 6ème étage Avenue du combattant suprême, Monastir, 5000, Monastir, Tunisie.",khamkham.h@decade.fr
PIGE INU LTD,20-22 WENLOCK ROAD LONDON N1 7GU,support@pigeinu.info
ESS-Mondial GmbH,Finkenkoppel 37 | 21465 Reinbek,m.benkhemis@ess-mondial.com
Infor Tunisia,"1053 Rue du Lac Tibériade, Tunis",Wahb.Essid@infor.com
Infor,"1053 Rue du Lac Tibériade, Tunis",dl-pdx-careers-tunisia@infor.com
Ontario Tech University,"2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",visitingscholars@ontariotechu.ca
société DECADE Tunisie,siège: Immeuble SALMA Centre Avenue du combattant suprême- Monastir,administratif@decade.fr
Université de Chicoutimi,"Université du Québec à Chicoutimi 555 Bd de l'Université, Chicoutimi, QC G7H 2B1",Fehmi.jaafar@uqac.ca
Teligencia,"37 Rue Asdrubal, Tunis, 1002, TN",info@teligenica.com
Hochschule Offenburg,Badstraße 24 | D-77652 Offenburg,info@hs-offenburg.de
SOCIETE GENERALE,189 rue d'Aubervilliers 75886 Paris Cedex 18,adm.stages@socgen.com
Sofiatech,Pôle El Ghazala des technologies de la communication B21,contact@sofia-technologies.net
Quantylix,"Zone industrielle Lac3 ,el Kram",contact@quantylix.com
KPMG TECH,"11 Rue Ibn Al Nafis, building, Les berges du lac 3, Tunis 2089, TN",mznati@kpmg.com
KPMG TECH,"11 Rue Ibn Al Nafis, building, Les berges du lac 3, Tunis 2089, TN",khaled.mrad.936@gmail.com
SOFRECOM TUNISIE,"IMMEUBLE STERLING, RUE DU LAC BIWA, LES BERGES DU LAC 01-1053 TUNIS, TUNIS, 1053, TN.",sameh.bejaoui@sofrecom.com
MASS Analytics,"Les berges du Lac2, Avenue de l'Euro , Immeuble City Lake Center_Bloc D -1053 Tunisie",info@mass-analytics.com
CODOC,16 rue du caire 75002 paris,arthur@codoc.co
Université Polytechnique Montréal,"2500 Chem de Polytechnique, Montréal QC H3T 1J4 , Canada",yuvin.chinniah@polytml.ca
Université Polytechnique Montréal,"2500 Chem de Polytechnique, Montréal QC H3T 1J4 , Canada",khaled.mrad.tn@gmail.com
Université Laval unité de recherche CIRRELT,2325 rue de la terrase Québec G1V0A6 QC Canada,jacques.renaud@fsa.ulaval.ca
Université du Québec à Trois‐Rivières,"3351, boulevard des Forges Trois‐Rivières, C.P. 500, Québec (Canada) G9A 5H7",bir@uqtr.ca
SOWISO BV,"Science Park 301,1098 XH, Amsterdam",max@sowiso.com
neusta inspire GmbH,Konsul-Smidt-Straße 24 28217 Bremen,info@neusta.de
Assist you group bv,stationsplein 45 A4.004 3031 ak rotterdam,bram@assistyou.ai
KSHUTTLE,3 Rue jules guesde - 92300 levallois perret,contact@kshuttle.io
vsx,sdvbds,annonces@ensi-uma.tn
Cognira,"Immeuble Premium B-04  Rue De L’euro Les Berges Du Lac 1053 Tunis, Tunisia",info@cognira.com
NETWORK ASSOCIATES,"Rue Lac Constance , Berges du Lac",contact@na.com.tn
3IA Technology,Ezzahra,info@3ia-technology.com
