Nom de l'entreprise,Adresse,Email entreprise
Anavid services tunisie,sakiet Ezzit Rue Mongi Slim Immeuble le 24,rh@anavid.co
Numeryx Tunisie,IMMEUBLE LLOYD 10ÉME ÉTAGE Bloc C-10 Angle de Rue Ahmed Hamza CENTRE URBAIN NORD، 1003,jobs@numeryx.fr
InstaDeep SUARL,"Immeuble ICC3 bloc D 4ème étage. Centre Urbain، Nord, Tunis 1082",hello@instadeep.com
Siemens Industry Software (SARL),"Rue de la feuille d'érable, Immeuble Fahd, 5ème étage, les Berges du Lac 2, 1053 - Tunis",mohamed.benayed@siemens.com
Université du Québec à Chicoutimi,"555 Bd de l'Université, Chicoutimi, QC G7H 2B1, Canada",supportsti@uqac.ca
Value Digital Services,"60 avenue principale, lac 1",carrieres@value.com.tn
Siemens,"Rue de la feuille d'érable, Immeuble Fahd, 5ème étage, les Berges du Lac 2, 1053 - Tunis",contact.tn@siemens.com
TELNET INC,"25 rue Jamel eddine Elafghani Poudrière 1, Sfax",info_users@groupe-telnet.net
Save Your Wardrope,"Rue du lac biwa, 3éme étage bâtiment Expensya, lac 1 Tunis",khouloud@saveyourwardrobe.com
Siemens,"Rue de la feuille d'érable, Immeuble Fahd, 5ème étage, les Berges du Lac 2, 1053 - Tunis",alaeddine.lajili@siemens.com
Myga consulting,"13 Rue Tahar Memmi, Ariana 2091",contact@mygaconsulting.fr
Novacture Conseil,IMMEUBLE MONFIANE 2EME ETAGE BB10 CITE MILITAIRE SOUSSE 4000,amine.zemni@novacture.com
Responsible Cyber,"Singapore, 56A Boat Quay, 049845",info@responsible-cyber.com
TELNET INC,"Z.I Poudrière 1, Rue Jameleddine El-Afghani N° 3000 Sfax",info@groupe-telnet.net
Siemens EDA -Tunisia,"Rue de la feuille d'érable, Immeuble Fahd,  5ème étage, les Berges du Lac 2, 1053 - Tunis",mohamed.ouhibi@siemens.com
Mentor Graphics Tunisia SARL,"Building Fahd, la Feuille d’Erable street, 5th floor, Les Berges du Lac2, Tunis, Tunisia",asma.meftah@siemens.com
TELNET INC,"25 rue Jamel eddine Elafghani Poudrière 1, Sfax",Salma.Rjeb@groupe-telnet.net
Teligencia Labs,"Centre Urbain Nord – Immeuble Lilas, Tunis 1082",Hamza.benammar@teligencia.com
Université du Québec à Rimouski - Campus de Lévis,"Campus de Lévis 1595, boulevard Alphonse-Desjardins Lévis (Québec)  G6V 0A6 CANADA",campus_levis@uqar.ca
IT SERV,"5 impasse Chahrazed, El Menzah 4, 1004 Tunis",itserv@itserv.tn
Oniris,"L’École nationale vétérinaire, agroalimentaire et de l'alimentation de Nantes-Atlantique (Oniris), site de la Géraudière, Rue de la Géraudière, CS 82225 44322, NANTES CEDEX",contact@oniris-nantes.fr
Linedata,"Immeuble Cléopâtre Center, Zone Urbaine Nord, Tunis,1053",Khaoula.Gharbi@se.linedata.com
NXP,"45 All. des Ormes Bâtiment D, 06250 Mougins, France",leila.goulamaly@nxp.com
OAAS,Bizerte,hr@oaasit.com
Docaposte Tunisie,pôle technologique El Ghazela,siwar.thabet@docaposte.fr
oaasit,"Rue du theatre, 7000 Bizerte, TUNISIE",contact@oaasit.com
Talan Tunisie,"10 rue de l'énergie solaire, Impasse n°1 Cedex 2035, Charguia 1 Tunis",ons.mahsni@talan.com
Commissariat à l’énergie atomique et aux énergies alternatives-CEA,"Point Courrier 174 F-91191 Gif-sur-Yvette Cedex,ile de france , France",ewa.pichon@cea.fr
habemus! Solutions,Technopole de Sfax,hajer.jallouli@habemus.com
GetBrandee,"128, Rue de la Boétie, Paris, Paris 75008, FR",radouani@getbrandee.com
Inetum,"Immeuble Harbour, Avenue de la Bourse Lac 2 Tunis",jobs@inetum.com
Sofrecom Tunisie,"Immeuble Sterling Rue du Lac Biwa, les berges du LAC Tunis",contact.tunisie@sofrecom.com
Université Laval,"2325 Rue de l'Université, Québec, QC G1V 0A6, Canada",mohamed-aymen.saied@ift.ulaval.ca
SAMA PARTNERS Business Solutions,"Immeuble le Coral, B11-3  1082 Centre Urbain Nord - Tunis",echrak.dabbabi@samapartners.tn
Integration Objects,"Bloc A, City Lake Center, Av. Du Dollar, Tunis 1053",chnefzi@integrationobjects.com
"Efrei Research Lab,Paris Panthéon-Assas Université","30-32 Av. de la République, 94800 Villejuif, France",adlane.benchallal@efrei.fr
Integration Object,"Bloc A, City Lake Center, Av. Du Dollar, Tunis 1053",careers@integrationobjects.com
Linedata,"Immeuble Cléopâtre Center, Zone Urbaine Nord, Tunis, 1053",rania.benamar@se.linedata.com
Codingaholic,"3 rue mohamed bayrem 5, La marsa",contact@codingaholic.com.tn
INSPIRE IT ENGINEERING SOLUTIONS,"11 Rue ezzayatines, Teboulba, 5080",bt.mehdi@gmail.com
ENSI,Campus Universitaire de la Manouba - 2010 Tunisie,webmaster@ensi.rnu.tn
WEVIOO,Immeuble WEVIOO Technopark El Ghazela 2088 Tunis-، Ariana- Tunisie 2088,contact@wevioo.com
HEXASTACK,"B2-2 Maram Palace, Impasse Cherazad, Menzah 4, Tunis, 1082",contact@hexastack.com
TEAMWILL,"Rue du lac Léman, Immeuble « Omrane » Les Berges du lac, Tunis",sales-mea@teamwillgroup.com
Estarta Solutions,"Queen Rania Street ,Amman Jordan",Qbzwayeh@estarta.com
T-SEUS,Route lafrane km 6.5 Sfax,contact@t-seus.com
National Smart For Green Solutions and Applications,Centre d'innovation Ras Jebel,karim.fathallah@smartforgreen.com
national,rue54jlkjlkj,national.entre@gmail.com
TeamDev,"RH9R+WW2, Technopôle de Sousse, Route ceinture de Sahloul, Sousse, Tunisie",contact@teamdev.tn
Laboratoire LARA de l'ENSI,Ecole Nationale des Sciences de l'Informatique,direction.stages@ensi-uma.tn
NST Groupe,"13 avenue du general leclerc, 92340 bourg la reine , FRANCE",contact@nstgroupe.com
"Laboratoire LR-RISC,ENIT","Campus Universitaire Farhat HACHED EL MANAR BP 37, LE BELVEDERE 1002 TUNIS",contact@enit.utm.tn
Tech4IoT,"Technopark Elghazala Route Raoued km 3.5, Tunis, Ariana 2080, TN",tech4iot.sevices@gmail.com
TEKAB DEV,"Rue Hedi Nouira complex la Couronne 5éme étage B02، Tunisie, Sfax",contact@tekab.dev
IMBUS,technopole de Sousse,info@imbus.tn
Jolie Jaune,"Aventure Majida Boulila, Immeuble Taoufik 5éme étage Bureau 51 3027 - Sfax - Tunisie",hello@joliejaune.tn
Web6,Pépinière d'entreprises sfax,haythemsaa@gmail.com
Ministère de la justice français,"35 Rue de la gare, Paris 75019",amina.safi@justice.gouv.fr
ETC,"Mansoura, Kairouan",Karine@etcinfo.fr
Siège de la Société Tunisienne de Bank,"Rue Hedi Nouira, Tunis 1001",Stb@Stb.Com.Tn
intellitech,Tunis/sfax,info@intellitech.pro
Arab Financial Consultants,Carré de l’Or – Les Jardins du Lac2 1053 Les berges du Lac – Tunisie,afc@afc.fin.tn
Influence Consulting,Cyberpark Hammam Lif,arbl@influence-consulting.com
ReDCAD lab,"Route de la Soukra km 3.5 B.P. W 1173 Sfax, Sfax",info@redcad.ch
t-seus,"Sfax,Route Lafrane km 7",career@t-seus.com
Prologic,"2, Rue Apollo XI - 1082 Tunis - MAHRAJENE",prologic@prologic.com.tn
Influence Consulting,Cyberpark Hammam Lif,arbi@influence-consulting.com
Zeta-Box,"Avenue Hedi Nouira ,Emna City B-51 3027 Sfax",contact@zeta-box.com
FOOTALK,"103, Elmadina Eljadida Bousalem Jendouba",contact.footalk@gmail.com
SOFT-PRO,": RUE,MOH JAMOUSSI IMM AHLEM CENTER ETAGE N°1 App 15, SFAX 3000.",contact@softpro.com.tn
Alola,Rue de l'UMA Sokra,team@alola.fr
PLM Ressources SARL,"126, Rue Ibn Khldoun Bizerte, Tunisie",info@allplm.com
Infosquare Tunisie,"Imm  »le 24 », bureau 64, Avenue Mongi Slim, Route de Tunis Km 6, Sfax, Tunisie",contact@infosquaregroup.com
swift code,"Rue Moussa Ibn Nussaier, à côté de la mosquée Ladhar 2, Sfax, Tunisia",Swiftcode.contact@gmail.com
STARTEC,La Garenne Colombes France,startec.contact@gmail.com
TUNISIE TELECOM Direction Regionale de Sousse,Rue Avicenne 4000 Sousse,ween.tunisie@gmail.com
Institution de la Recherche et de l'Enseignement Supérieur Agricoles,"30, Rue Alain Savary 1002 Tunis Belvédère -TUNISIE",bo.iresa@iresa.agrinet.tn
st2i,"1,Avenue du Dollar ,Les jardins du Lac ,Lac 2",st2i@st2i.com.tn
Welyne,"Residence Leplace bloc a 4e etage Centre Urbain Nord ,Tunis",contact@welyne.com
Inoteqia Health Tech,"rue de sincérité, route de la marse GP9, ain zaghouen",info@inoteqia.com
Momentum technologies,"39 Rue Azzouz Rebaï, Tunis 2092",hend.trabelsi@momentum-tech.ca
Saphir Consult,Immeuble Saadi – Bloc C-D – 1er étage – Menzah 4,contact@saphirconsult.com
One TECH Techniplast Industry of One TECH Group,"Techniplast Industrie SA 7026 ELAZIB - Menzel Djemil - Km9 Bizerte – Tunisie, 7026، تونس · ~1.5 km",contact.tpi@onetech-group.com
iObeya Tunisia,"Rue Ghar El Melh Immeuble Arbia, 1053 Berges du Lac",rh.tn@iobeya.com
Tunisie Télécom tozeur,"Route NAFTA , Tozeur 2200",Tarek.touhami@tunisietelecom.tn
Insomea,Lac 2 résidence Lac D’or appart B31-B32,info@insomea.tn
Bright Soft Sarl,"Immeuble Ben Saida, Bureau 1 Avenue Hadi Chaker Makthar 6140 Siliana Tunisie",bright.soft.sarl@gmail.com
Clevory Training,"08 Rue des minéraux, Charguia 1",contact@clevory.com
Smart World IT SWIT,Immeuble La Perle 127 Avenue 20 Mars 1956,contact@swit.com.tn
Future proof,Espace d'entreprise technopole Sakiet ezzit Sfax,contact@futureproof.tn
BH bank,rue Hedi Nouira Tunis,contact@bhbank.tn
Sopal,"Sfax route de gabes km 1,5",Sopal@sopal.com
HELLO DATI,25 rue Maouia Ibn Abi Soufiane Street Cité el Khadhra 1002,eya.d@hellodati.com
BFI GROUPE,BFI-Lac 1,contact@bfigroupe.com
PicoSoft,04 Rue Andre Ampère Chotrana 2080 Ariana,fa@picosoft.biz
Smarteo,"Pépinière des entreprises ISET, Cité Riadh Sousse",contact@smarteo.tn
KE-Tunisia,Rue Du Lac Locheness Immeuble Elfodjr RDC 1053,hamdi.benabde@k-expert.com
Ouimind LABS,"Rue ahmed Aloulou, Immeuble Fairouze, Etage 5, Appartement 503, Sfax, TUNISIE",contact@ouimind.com
Centre informatique du ministère de la Santé (CIMS),"1 Rue Du Liberia, Jeanne d'Arc",cims@rns.tn
Lauterbach Consulting S.A.R.L,Route El Ain Km 3.5 TN-3042 Sfax Tunisia,nesrine.zouari@lauterbach.com
Pixemantic,"Cente d'innovation , Citè Ghazela",Contact@pixemantic.com
DidaMind,"Avenue des Martyrs Mourouj 3 2074 Ben Arous, Tunisie.",didaminds@gmail.com
Globe Services Informatique,3 septembre Rue Trabelsia 5000 Monastir,commercial@gsi.com.tn
université virtuelle de tunis,"13 Rue Ibn Nadim, 1073 Montplaisir, Tunis",oussama.limam@uvt.rn
Banque internationale arabe de Tunisie,"7, avenue de la liberté sfax",youssef.makni@biat.com.tn
Azur systemes,"26 Rue Ahmed Tlili Appt 56, Centre Zarrouk Center",sysinfo@azursys.com
Coachess,"Centre Urbain Nord, Immeuble Yasmine Tower, Bureau B.7.2 Tunis, Tunis 1082",contact@coachess.tn
ADDINN Tunisie,"Immeuble Akouri, 2ème étage, rue 2 Mars, 2200 Tozeur",baya.mouaddeb@addinn.com
Everience,Sana Business center-1002 Tunis belvédère,dpo@helpline.fr
sagemcom software and Technologies,"34 Avenue de Paris, Megrine 2033",Amal.bahri@sagemcom.com
ARMA S.A.R.L,"TEC CENTER , 40 Rue Jerissa ZI, MEGRINE BEN AROUS, TUNIS",entreprisecontact@arma-consulting.com
Devrecipe,"Route el Hemma, Tozeur",anas@devrecipe.tech
Institut des Régions Arides (IRA),route Djorf km 22.5,ira.med@ira.rnrt.tn
ODDO BHF,Immeuble Sandra Towers - Avenue du lac Nord-Cité Les Pins - Les Berges Du Lac 2 - Tunis,ghaya.ben-abdeljaoued@oddo-bhf.com
smart business solution,"urbain nord , centre cleopatre",commercial@smart-bs.com.tn
Simsoft Technologies,"5 Avenue Léopold Senghor Espace Ayechi, 4000 Sousse – Tunisie",commercial@simsoft.com.tn
Caisse Nationale de Sécurité Sociale (CNSS),12 Avenue de Madrid- 1006 Tunis,BR.TunisCentre@cnss.nat.tn
SMART ENGINEERING,"Technopole Borj CedriaRoute touristique, Sulayman",contact@smartengineeringaht.com
PROCAN,"Route L'AIN km 2.5, rue 480 3042 Sfax Tunisie",info@procan-group.com
Shamash Information Technology,"Centre Urbain Nord, Imm cercle des  bureaux, 3ème étage B323, Tunis, Tunisie",contact@shamash-it.com
ADDIXO ONE,Technopole Manouba,contact@addixo.com
CarHuB-TI SARL,"93 Avenue Habib Bourguiba Megrine, 2033 Tunisia",contact@carhub-ti.com
CRESUS SOLUTIONS,Av. 14 Janvier immeuble el Ain Palace,contact@cresus.pro
Mooprix,Charguia 1,Contact@Monoprix.Tn
DocStream Solutions,DocStream Solutions,contact@docstreamsolution.com
techinventors,av. perle du sahel khzema sousse TN,techinventorsgrp@gmail.com
Assurances BIAT,Immeuble Assurances BIAT - Av La Bourse - Les Jardins du Lac 1053 Les Berges du Lac - TUNIS,ag.lac2@assurancesbiat.com.tn
Yes Internet,"208, Avenue de la République, Hammamet 8050, Tunisie.",contact@yes-internet.com
Astrolab Agency,"Av Kairawen Sousse, 4000",hanen@astrolab-group.com
Office National de la Télédiffusion,Cité Ennassim 1 Montplaisir BP399 Tunis-Cedex-Tunisie,ont@telediffusion.net.tn
Move2cloud SAS,"Paris, Region - Ile de France",contact@move2cloud.fr
ARMA S.A.R.L,"TEC CENTER , 40 Rue Jerissa  ZI, MEGRINE  BEN AROUS, TUNIS",contact@arma-consulting.com
TEAMWILL,"Immeuble omran, Av lac leman lac1 tunis",aymen.ben-ammar@teamwillgroup.com
Acteol,Route lafrane km7 Sfax,info@acteol.com
ETIC Europe Development,"Route de Ouardanine SIDI AMEUR 5061, Monastir",m.ayoub@eticeurope.com
CSBS ACCOUNTING Sami Slama,Avenue Habib Bourguiba 8000 Nabeul,Cabinet.samislama@gmail.com
Cabinet de Réalisation des Audits et Etudes Energétiques (CRA2E),"Centre Molka, Escalier D, Bureau N°15, Tunis",cra2e@yahoo.fr
HOPE HORIZAN,"2 Rue des iles Baléares. Riadh AIAndalous, Arina.",youssef@hopehorizonworld.com
Tunisie Telecom Sidi Bouzid,Sidi Bouzid avenue habib bourguiba,Tahar.Sakli@tunisietelecom.tn
tunisie telecom direction régionale de Gabes,Rue bechir Jaziri 6001 Gabes,Mohamed.Mahroug@tunisietelecom.tn
wowsoft,"Cité abbas Cyberparc Tataouine 2eme etage, Tataouine, Tunisia",contact@wow-soft.com
Dotcom,"Avenue Du 2 Mars 1934, Nabeul, Tunisie",contact@dotcom.tn
PwC Tunisie,"Rue du Lac d'Annecy, Tunis",afef.khedhir@pwc.com
Zimys,"Avenue Liberté, Résid NAJLA Bureau 02 RDC, Boumhel El Bassatine  2097",contact@zimys.com
Atom engineering,"Sakiet Ezzit, Sfax, Tunisie",info@atom-group.fr
Komutel,Centre Urbain Nord,rhtunis@komutel.com
Hatlone Technologies,"2 Rue Marrakech, Bardo, Tunis",lahuij.louey95@gmail.com
Ip Label,"70 Avenue Mohamed V Avenue 1st floor, Belvédère Tunis Mohamed V، 1002",abenothman@ip-label.com
Sahar Heni,monastir,r.boussema@wg-consulting.fr
Satoripop,"Blvd Hassouna Ayachi, Sousse 4000, Tunisia",hello@storipop.com
Planet Group International,"Technopark Elgazala, bâtiment I2, 2ème étage, Ariana",fethi.amara@planetgroupint.com
Wind Consulting,"Rue chaanbi Rond point binrjab, Immeuble ben Nahia,Mahdia",direction@wind-consulting-tunisia.com
Udini,sfax,contact-sfax@udini.co
Tac-Tic,"Technopôle El Ghazela, Ariana",contact@tac-tic.net
MAMMUT WEB SOLUTIONS,Rue Ali Bourguiba Skanes-Monastir,mammouthcreative@gmail.com
Binacts,"Montplaisir, Immeuble Espace Tunis, Boc H, 5ème étage",formakt.bac@gmail.com
ITGUST,"10, rue Khartoum-Tunis",Cotact@itgust-group.com
Yperskills,Immeuble aoun 4ème étage - jawhara Sousse,Houssem@yperskills.com
SARTEX,km1 route de sousse ksar hellal,adm@sartex.com.tn
Novel-TI SARL,"4 Rue Ali Gouge, Gremda 3062, Sfax, Tunisie",contact@novelti.com.tn
Evey Technologies,Lac2,moatez.heni@evey.live
DRAXLMAIER,Rue 14 janvier Zaouiet Sousse,Mohamed.Turki@draexlmaier.com
OAK VISUALS,"Rue abdelatif ajmi, ksibet el mediouni , 5031 , monastir",contact@oak-visuals.com
Piva Software,Road Kaid Mhamed Km 4.5,sales@pivasoftware.com
Dr.Oetker Gias,Zone Industriel  Grombelia,infos@oetker-gias.tn
DRÄXLMAIER,Avenue 14 Janvier 2011 Zaouiet Sousse Sousse، 4081,mailPresse_Tn@draexlmaier.com
Piximind,"Rte Ain Km 1,5 Imm Ihsen, Appartement 401, Sfax , Tunisie 3042, TN",contact@piximind.com
DATAH INTL,Boulevard de la Terre - 1082 CUN Tunis,contact@datahorizon.eu
I-Way,"Centre de Services de Sfax Intelligence Way, Immueble El Khalifa, Avenue de la Liberté,Bloc B,A 201, 3000,Sfax,Tunisie",mohamed.guermazi@iway-tn.com
Tunsié Télecom Gafsa,Rue Farhat Hached 2100 Gafsa - GAFSA,stages@tunisietelecom.tn
ITGUST,"10, rue Khartoum, 2éme étage immeuble Khartoum, 1002-tunis",Contact@itgust-group.com
SAC Consulting,"bureau 7.02, Avenue de combattant suprême Immeuble Ghomrassi 7éme étage, Av. du combattant suprême, Monastir",direction@sac-consulting.com
VERMEG,"Rue de la Perle,Lac2,Tunis",info@vermeg.com
Advyteam Global services,"3 Rue Lac Léman, Immeuble Omrane, 3éme étage, Lac bergers du Lac",RH.tunisie@advyteam.com
Mp Soft (Manager Partner Software),"06, rue Lac Toba 1053 les berges du lac",contact@mpsoft.com
MpSoft (Manager Partner Softwer ),"06, Rue Lac Toba, 1053 Les berges du Lac",contact@mpsoft.com.tn
THIS(Heath Tech Innovation Systems),"Ensi Innovation Hub,campus universitaire de la Manouba",contact@heathtechinnovationsystems.com
la poste tunisienne bureau de poste 3070 kerkennah,Ramla kerkennah,imensouissi@tnPost.tn
Centre Régional des Recherches en Horticulture et Agriculture Biologique,"Route touristique, 4042 Chott Mariem - Sousse",braham.mohamed@gmail.com
THIS,"ENSI Innovation Hub, Campus universitaire de la Manouba,2010, Tunisie",contact@healthtechinnovationsystems.com
Monetics-services-solutions,"Immeuble le 45, Avenue du Japon, Bloc A, Bureau A40 Montplaisir Tunis 1073",Aymen.Moncer@mssolutions-group.com
Altran telnet corporation,Pole technologique el Ghazela,hatem.maalla@capgemini.com
Hayat Technology,"Route Soukra km 3, Sfax, TN",contact@hayat-tech.com
Comelit R&D Tunisie,Pole technopole ghazala,cred@comelit.it
UIB,"26 Rue de l'Egypte, Tunis",uibcontact@uib.com.tn
leetcorp,"Villa Bir Ftouha, Route de Carthage, La marsa 2070",contact@leectorp.com
Tunisie Télécom-direction régionale de Mahdia,Rue kortoba -Mahdia 5150,Contact@tunisietelecom.tn
YaiGlobal,"Pole technologique el Ghazella, Bloc E2, Raoued, BP 112 , Ariana",admin.tunisia@yaiglobal.com
Smart Conseil,"8 rue el Basra, cité el Ghazela, Ariana.",job2@smarte-conseil.fr
Proxym,"Novation City: Technopole de sousse Sousse, 4051",contact@proxym-group.com
ACTIA,"Parc Technologique de sfax, 2ième Etage 3021 Sfax (Tunisie Sfax, 3021",recrutement@actia-engineering.tn
MedicusClinic,"651N St Broad, suite 206 Middletown Delaware, CP19709, USA",laroussibenyounes@gmail.com
WithNet,"33 Rue des Salines, Appartement N°10, 1002 Tunis, Tunisie.",contact@withnet.tn
ESPRIT,el Ghazela,services.stage@esprit.tn
Marabout Technology,"19 Rue de la mécanique, ZI Charguia 1 2035 Tunis Carthage, Tunisia",info@maraboutcorp.com
Dataraise,"Regus - Tunis, Berges du Lac 2, Building ""SLIM"", 2nd Floor, Imm Selim, Rue de l'Euro, Tunis 1053, Tunisie",ftrabelsi@dataraise.com
Capegimini,"Parc Technologique El Ghazala Bloc N°3 Route de Raoued Km 3,5 Ariana, Tunisie, 2088",recrutementtunisie.tn@capgemini.com
ELCO Solutions,"Immeuble B, 5ème étage, AFH/BC5 Centre Urbain Nord 1003 Tunis Tunisia",contact@elco-solutions.de
Droppex,"Cité Taamir, Route Msaken Sousse",allteam@droppex.com
ATS DIGITAL DEV,"Immeuble Zahra, Bloc A, Appart 1, 1er étage • Passage du lac Turkana 1053 • Les Berges du Lac , Tunis, Tunis 1053, Tunisie",recrutement@ats-digital.com
ST Microelectronics,Technopole el Ghazala Ariana,st@newsletter.st.com
Vastsky123,Avenue Hbib Bourguiba Korba 8070,contactstage@vastsky123.tn
CAPIT,"71 av jean jurés, Tunis",contact@capit.agency
société EL Kanaouet,20 Rue Ahmed Rami Immeuble Essalem Cité les jardins 1002 Tunis Belvédère,siege@elkanaouet.com
Whitecape Technologies,Avenue de la République Akouda Sousse 4022,info@whitecapetech.com
KEYSTONE,"3 Rue de Riadh, Mutuelleville, Tunis",contact@keystone.tn
Désignet web agency,Rue de la révolution menzel temime 8080,Contact@designet-tn.com
Sqoin,"04 rue Taher Mami, Manzah 6 Ariana",admin@sqoin.us
All Soft Multimédia,"Avenue de la libérté, Immeuble el Itkan 3éme étage , Sfax",contact@asm.com.tn
Ip Label,"70 Avenue Mohamed V, 1er étage,  1002 Tunis Belvédère",info@ip-label.com
General Computers,Rue Alexsander Sfax,abdelhedigc@yahoo.fr
Tunisie Telecom Nabeul,Rue de la révolution 8000 Nabeul,Ahlem.ISSA@tunisietelecom.tn
Coworky,"Av. Arbi Zarouk 8000 ,Nabeul",hello@coworky.org
SIDILEC INTERNATIONAL,Route de Mahdia kilomètre 10,mchallouf@sidilec.com.tn
Laboratoire de recherche LARIA,Ecole Nationale de Sciences Informatique,mouna.mnif@ensi-uma.tn
Agence Nationale de Certification électronique,"Parc Technologique El Ghazala – Route de Raoued Km 3,5 – 2088 Ariana",ance@certification.tn
Tunisie Telecom,Actel El Bosten,sfaxtelecomservice@gnet.tn
DOT-IT,pépinière des entreprises Softech - technopole de souuse,contact@dotit-corp.com
Tunisia Fleet Management (Groupe Ben Jemaa),19 Rue de l'Usine - Z.I. Ariana Aéroport 1080 Tunis Cedex B.P.291,jihene.aziza@tfm.com.tn
ALGOCOD,"Cyber Park Avenue Charles de Gaulle 4011 Hammam Sousse , Sousse",contact@algocod.com
BUSINESS AND AI,"Bureau N°402 Megrine Business Center Route Z4, Z.I Saint-Gobain 2014 Megrine Ben Arous",internships@business-and-ai.com
CGI Studio,1 moussa ben nousair - Manzel Temime,cgistudio.contact@gmail.com
